Title,Status,Description,Expected Changes,Feature Request Response,General Notes,Estimate,Cost,Tags
Rename 'Sales Navigation Options' to 'Tract Navigation Options',Complete,Terminology does not match WoodPro vocabulary.,Update label to 'Tract Navigation Options'.,Updated in UI by April 7 release.,Confirmed by Morgan Cameron,,,Canfor
Fix title block text in Print layout,Complete,Print output had incorrect field mapping for title block.,Correct field mapping for title block text on print.,Resolved in current release.,Field mapping fix deployed,,,Canfor
Remove report button from header,Complete,Header includes an unnecessary 'report' button.,Remove report button from header bar.,Removed in latest build.,"Per April 7, 2025 update",,,Canfor
Fix missing profile on startup,Complete,Profile was not loading on application startup.,Ensure default profile loads at launch.,"Implemented in April 7, 2025 release.",Fix confirmed by Nathan Gurney,,,Canfor
Add query definitions to navigation layers,New,Tract Points and Geometry Layers lack query filters.,Apply query definitions based on Navigation Options fields.,,Requested by Morgan Cameron,,,Canfor
Simplify CSP Tract Points symbology,New,Symbols are too varied and hard to interpret.,"Use single symbol type, distinguish by company vs supplier.",,April 7 feedback,,,Canfor
Enable multi-select for Location and Forester picklists,New,Currently limited to single selection in filters.,Allow users to select multiple values.,,Request from Morgan Cameron,,,Canfor
Toggle layer visibility by symbol in TOC,New,TOC does not allow toggling visibility of unique value layers.,Enable toggling by unique symbol group in Table of Contents.,,Reported by Nathan Gurney,,,Canfor
Create geometry from Report-All in Edit,New,No current function to create from Report-All result.,Add support for geometry creation from report-all query.,,Captured in release notes,,,Canfor
Enable shape upload in Edit menu,New,Edit options do not currently support shape upload.,Allow shape file uploads directly via Edit panel.,,From April 7 demo notes,,,Canfor
Change zoom level on point select,New,Selecting a point does not zoom in enough for detail.,Modify zoom level to be closer when selecting a point.,,Requested by Nathan Gurney,,,Canfor
Add scale limits to CSP Points,New,CSP Points display too early on the scale range.,Add scale limits to control CSP Points visibility.,,"From April 7, 2025 demo discussion",,,Canfor
center on / extent based on navigation ,New,,,,,,,WoodPro - Demo
Download Format Clarifications,New,Ensure clarity on available download formats,"• Confirm that  Shapefile (.shp)  remains the only supported format for downloads.
• Provide  clear documentation  that users can convert shapefiles to other formats using external tools.",,,,,ATFS - Stage (geoserver)
Search Feature Improvements,New,Optimize the Search feature to encourage more usage,"• Increase  visibility and accessibility  of the Search tool in the UI.
• Add  usage tracking  (if possible) to evaluate actual adoption and effectiveness.
• Provide  in-app guidance or a short tutorial  to highlight its availability and benefits.",,,,,ATFS - Stage (geoserver)
Upload Function Retention & Enhancements,New,Ensure the Upload feature remains available and improve ease of use,Maintain  upload functionality  as users rely on it.Enhance  user guidance or tooltips  to improve adoption and reduce the need for support inquiries.,,,,,ATFS - Stage (geoserver)
Basemap Selection Optimization,New,Add new Basemap,Add USGS National Map (Topo),,,,,ATFS - Stage (geoserver)
